name	aliases	previous_class	disposition	reason	consumer_evidence
lifecycle.stress	-	engine_service	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/ai_registry_probe.txt:22;Tools/regression/verify-asan-lifecycle.ps1:136;scripts/asan_lifecycle_stress.txt:44;scripts/asan_lifecycle_stress.txt:95;scripts/asan_lifecycle_stress.txt:97;scripts/asan_lifecycle_stress.txt:106;scripts/asan_lifecycle_stress.txt:108;scripts/asan_lifecycle_stress.txt:110;scripts/asan_lifecycle_stress.txt:116;scripts/asan_lifecycle_stress.txt:124;scripts/asan_lifecycle_stress.txt:130;scripts/lifecycle_baseline.txt:74;scripts/lifecycle_baseline.txt:143;scripts/lifecycle_baseline.txt:145
lifecycle.trace	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-script-add-awake-once.ps1:13;Tools/regression/verify-script-add-awake-once.ps1:95;scripts/asan_lifecycle_stress.txt:22;scripts/asan_lifecycle_stress.txt:85;scripts/asan_lifecycle_stress.txt:86;scripts/asan_lifecycle_stress.txt:133;scripts/lifecycle_baseline.txt:33;scripts/lifecycle_baseline.txt:117;scripts/lifecycle_baseline.txt:118;scripts/lifecycle_baseline.txt:138;scripts/lifecycle_baseline.txt:140;scripts/lifecycle_baseline.txt:157;scripts/lifecycle_baseline.txt:168;scripts/script_add_awake_once.txt:44;scripts/script_add_awake_once.txt:54;scripts/script_add_awake_once.txt:55;scripts/script_add_awake_once.txt:66
log.flush	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/ai_registry_probe.txt:25;Tools/regression/bt_smoke.txt:83;Tools/regression/ddol_canvas_probe.txt:89;Tools/regression/ddol_script_probe.txt:66;Tools/regression/hierarchy_convention.txt:74;Tools/regression/light_slot_restore.txt:87;Tools/regression/prefab_duplicate.txt:49;Tools/regression/prefab_identity_injection.txt:61;Tools/regression/prefab_nested_probe.txt:77;Tools/regression/prefab_nested_update_probe.txt:169;Tools/regression/prefab_override_write.txt:96;Tools/regression/prefab_roundtrip.txt:55;Tools/regression/reflect_golden.txt:42;Tools/regression/transform_roundtrip.txt:53;Tools/regression/ui_layout_golden.txt:141;Tools/regression/ui_navigation_local.txt:7;Tools/regression/verify-scene-entity-api.ps1:41;Tools/regression/verify-scene-entity-api.ps1:90;scripts/asan_lifecycle_stress.txt:135;scripts/lifecycle_baseline.txt:175;scripts/scene_churn_benchmark.txt:56;scripts/script_add_awake_once.txt:68
material.corpus.probe	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-cli-exit-spine.ps1:129;Tools/regression/verify-cli-exit-spine.ps1:134;Tools/regression/verify-material-authoring-corpus.ps1:44
mem.delta	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
mem.hook	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
mem.reset	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
mem.stats	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
model.load	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/featuretest/build-scenes.ps1:44;Tools/regression/run-all.ps1:513;Tools/regression/ui_regression.txt:11;Tools/regression/ui_regression.txt:28;Tools/regression/verify-asset-authoring-ownership.ps1:323;Tools/regression/verify-asset-authoring-ownership.ps1:363;Tools/regression/verify-asset-authoring-ownership.ps1:364;Tools/regression/verify-editor-drop-animation.ps1:3;Tools/regression/verify-editor-drop-animation.ps1:6;Tools/regression/verify-model-cutover-budget.ps1:195;Tools/regression/verify-model-scene-consumption.ps1:14;Tools/regression/verify-model-scene-consumption.ps1:120;Tools/regression/verify-model-typed-consumers.ps1:56;Tools/regression/verify-skin-pose-visual.ps1:11;Tools/regression/verify-skin-pose-visual.ps1:12;Tools/regression/verify-skin-pose-visual.ps1:13;Tools/regression/verify-skin-pose-visual.ps1:106;Tools/regression/verify-skin-pose-visual.ps1:107;Tools/regression/verify-skin-pose-visual.ps1:108;scripts/editor_drop_animation.txt:3;scripts/editor_drop_animation.txt:8;scripts/editor_drop_animation.txt:14;scripts/skinned_pose_visual.txt:20;scripts/skinned_proxy_refresh.txt:11;scripts/skinned_proxy_refresh.txt:16;scripts/skin_pose_integrity.txt:14;scripts/skin_pose_visual.txt:13
model.loadcached	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-model-cutover-budget.ps1:195;Tools/regression/verify-model-scene-consumption.ps1:14;Tools/regression/verify-model-scene-consumption.ps1:120;Tools/regression/verify-model-typed-consumers.ps1:56;Tools/regression/verify-skin-pose-visual.ps1:13;Tools/regression/verify-skin-pose-visual.ps1:108;scripts/editor_drop_animation.txt:8;scripts/editor_drop_animation.txt:14;scripts/skinned_proxy_refresh.txt:16;scripts/skin_pose_visual.txt:13
model.place	-	engine_service	api	shared model instantiation command; structured result and undoable HTTP metadata	Tools/featuretest/build-scenes.ps1:76;Tools/featuretest/build-scenes.ps1:86;Tools/regression/ui_regression.txt:30;Tools/regression/verify-cli-editor-operation.ps1:9;Tools/regression/verify-cli-editor-operation.ps1:46;Tools/regression/verify-cli-editor-operation.ps1:111;Tools/regression/verify-cli-editor-operation.ps1:150;Tools/regression/verify-cli-editor-operation.ps1:155;Tools/regression/verify-cli-editor-operation.ps1:156;Tools/regression/verify-cli-editor-operation.ps1:194;Tools/regression/verify-model-cutover-budget.ps1:197;Tools/regression/verify-model-scene-consumption.ps1:15;Tools/regression/verify-model-scene-consumption.ps1:122;Tools/regression/verify-model-typed-consumers.ps1:58;scripts/editor_drop_animation.txt:16;scripts/skinned_pose_visual.txt:22;scripts/skinned_proxy_refresh.txt:18;scripts/skin_pose_integrity.txt:16;scripts/skin_pose_visual.txt:23
object.create	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/featuretest/build-scenes.ps1:62;Tools/featuretest/build-scenes.ps1:65;Tools/featuretest/build-scenes.ps1:172;Tools/featuretest/build-scenes.ps1:180;Tools/regression/ai_registry_probe.txt:12;Tools/regression/bt_smoke.txt:36;Tools/regression/bt_smoke.txt:58;Tools/regression/ddol_canvas_probe.txt:52;Tools/regression/ddol_canvas_probe.txt:60;Tools/regression/ddol_canvas_probe.txt:63;Tools/regression/ddol_script_probe.txt:54;Tools/regression/light_slot_restore.txt:51;Tools/regression/light_slot_restore.txt:54;Tools/regression/light_slot_restore.txt:56;Tools/regression/light_slot_restore.txt:58;Tools/regression/prefab_duplicate.txt:24;Tools/regression/prefab_identity_injection.txt:32;Tools/regression/prefab_nested_probe.txt:38;Tools/regression/prefab_nested_probe.txt:46;Tools/regression/prefab_nested_probe.txt:50;Tools/regression/prefab_nested_probe.txt:52;Tools/regression/prefab_nested_update_probe.txt:87;Tools/regression/prefab_nested_update_probe.txt:122;Tools/regression/prefab_override_write.txt:44;Tools/regression/prefab_roundtrip.txt:29;Tools/regression/reflect_golden.txt:23;Tools/regression/resolution_sweep.txt:18;Tools/regression/resolution_sweep.txt:21;Tools/regression/resolution_sweep.txt:33;Tools/regression/resolution_sweep.txt:38;Tools/regression/resolution_sweep.txt:44;Tools/regression/transform_roundtrip.txt:18;Tools/regression/ui_layout_golden.txt:28;Tools/regression/ui_layout_golden.txt:40;Tools/regression/ui_layout_golden.txt:45;Tools/regression/ui_layout_golden.txt:48;Tools/regression/ui_layout_golden.txt:51;Tools/regression/ui_layout_golden.txt:54;Tools/regression/ui_layout_golden.txt:57;Tools/regression/ui_layout_golden.txt:60;Tools/regression/ui_layout_golden.txt:63;Tools/regression/ui_layout_golden.txt:66;Tools/regression/ui_layout_golden.txt:69;Tools/regression/ui_layout_golden.txt:104;Tools/regression/ui_layout_golden.txt:107;Tools/regression/ui_layout_golden.txt:110;Tools/regression/ui_layout_golden.txt:127;Tools/regression/ui_regression.txt:34;Tools/regression/verify-cli-editor-operation.ps1:31;Tools/regression/verify-cli-editor-operation.ps1:32;Tools/regression/verify-cli-editor-operation.ps1:37;Tools/regression/verify-cli-editor-operation.ps1:38;Tools/regression/verify-cli-editor-operation.ps1:130;Tools/regression/verify-cli-editor-operation.ps1:161;Tools/regression/verify-cli-editor-operation.ps1:162;Tools/regression/verify-cli-editor-operation.ps1:172;Tools/regression/verify-cli-editor-operation.ps1:175;Tools/regression/verify-cli-invocation.ps1:79;Tools/regression/verify-cli-invocation.ps1:80;Tools/regression/verify-cli-script-reload.ps1:87;Tools/regression/verify-ddol-canvas.ps1:44;Tools/regression/verify-hierarchy-convention.ps1:58;Tools/regression/verify-hierarchy-convention.ps1:67;Tools/regression/verify-hierarchy-convention.ps1:68;Tools/regression/verify-play-roundtrip.ps1:59;Tools/regression/verify-play-selection-undo.ps1:57;Tools/regression/verify-play-selection-undo.ps1:61;Tools/regression/verify-play-selection-undo.ps1:150;Tools/regression/verify-prefab-nested-update.ps1:218;Tools/regression/verify-scene-entity-api.ps1:35;Tools/regression/verify-scene-entity-api.ps1:36;Tools/regression/verify-transform-roundtrip.ps1:24;Tools/regression/verify-transform-roundtrip.ps1:64;scripts/asan_lifecycle_stress.txt:28;scripts/asan_lifecycle_stress.txt:31;scripts/asan_lifecycle_stress.txt:34;scripts/asan_lifecycle_stress.txt:37;scripts/asan_lifecycle_stress.txt:47;scripts/asan_lifecycle_stress.txt:49;scripts/asan_lifecycle_stress.txt:51;scripts/asan_lifecycle_stress.txt:54;scripts/asan_lifecycle_stress.txt:56;scripts/asan_lifecycle_stress.txt:58;scripts/asan_lifecycle_stress.txt:60;scripts/asan_lifecycle_stress.txt:62;scripts/asan_lifecycle_stress.txt:64;scripts/asan_lifecycle_stress.txt:66;scripts/asan_lifecycle_stress.txt:68;scripts/asan_lifecycle_stress.txt:70;scripts/asan_lifecycle_stress.txt:72;scripts/asan_lifecycle_stress.txt:74;scripts/asan_lifecycle_stress.txt:76;scripts/lifecycle_baseline.txt:58;scripts/lifecycle_baseline.txt:61;scripts/lifecycle_baseline.txt:64;scripts/lifecycle_baseline.txt:67;scripts/lifecycle_baseline.txt:78;scripts/lifecycle_baseline.txt:80;scripts/lifecycle_baseline.txt:82;scripts/lifecycle_baseline.txt:85;scripts/lifecycle_baseline.txt:87;scripts/lifecycle_baseline.txt:89;scripts/lifecycle_baseline.txt:91;scripts/lifecycle_baseline.txt:93;scripts/lifecycle_baseline.txt:95;scripts/lifecycle_baseline.txt:97;scripts/lifecycle_baseline.txt:99;scripts/lifecycle_baseline.txt:101;scripts/lifecycle_baseline.txt:103;scripts/lifecycle_baseline.txt:105;scripts/lifecycle_baseline.txt:107;scripts/script_add_awake_once.txt:58;scripts/script_add_awake_once.txt:60
object.delete		new	api	Shared undoable subtree deletion	Tools/regression/verify-editor-command-surface.ps1
object.describe		new	api	Owned object identity and state snapshot	Tools/regression/verify-editor-command-surface.ps1
object.duplicate	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/prefab_duplicate.txt:18;Tools/regression/prefab_duplicate.txt:37;Tools/regression/prefab_identity_injection.txt:41;Tools/regression/run-all.ps1:617;Tools/regression/verify-cli-editor-operation.ps1:132;Tools/regression/verify-cli-editor-operation.ps1:175
object.parent	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/ddol_canvas_probe.txt:64;Tools/regression/prefab_nested_probe.txt:49;Tools/regression/prefab_nested_probe.txt:51;Tools/regression/prefab_nested_probe.txt:53;Tools/regression/prefab_nested_update_probe.txt:123;Tools/regression/resolution_sweep.txt:40;Tools/regression/resolution_sweep.txt:47;Tools/regression/ui_layout_golden.txt:47;Tools/regression/ui_layout_golden.txt:50;Tools/regression/ui_layout_golden.txt:53;Tools/regression/ui_layout_golden.txt:56;Tools/regression/ui_layout_golden.txt:59;Tools/regression/ui_layout_golden.txt:62;Tools/regression/ui_layout_golden.txt:65;Tools/regression/ui_layout_golden.txt:68;Tools/regression/ui_layout_golden.txt:71;Tools/regression/ui_layout_golden.txt:106;Tools/regression/ui_layout_golden.txt:109;Tools/regression/ui_layout_golden.txt:112;Tools/regression/ui_layout_golden.txt:130;Tools/regression/verify-cli-editor-operation.ps1:133;Tools/regression/verify-cli-invocation.ps1:16;Tools/regression/verify-cli-invocation.ps1:81;Tools/regression/verify-hierarchy-convention.ps1:59;Tools/regression/verify-hierarchy-convention.ps1:69;Tools/regression/verify-scene-entity-api.ps1:37;Tools/regression/verify-transform-roundtrip.ps1:69;scripts/asan_lifecycle_stress.txt:33;scripts/asan_lifecycle_stress.txt:36;scripts/asan_lifecycle_stress.txt:39;scripts/lifecycle_baseline.txt:63;scripts/lifecycle_baseline.txt:66;scripts/lifecycle_baseline.txt:69
object.properties		new	api	Read reflected component values and field types	Tools/regression/verify-editor-command-surface.ps1
object.property	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/featuretest/build-scenes.ps1:68;Tools/featuretest/build-scenes.ps1:69;Tools/featuretest/build-scenes.ps1:70;Tools/featuretest/build-scenes.ps1:175;Tools/featuretest/build-scenes.ps1:176;Tools/featuretest/build-scenes.ps1:177;Tools/featuretest/build-scenes.ps1:178;Tools/featuretest/build-scenes.ps1:184;Tools/featuretest/build-scenes.ps1:185;Tools/featuretest/build-scenes.ps1:186;Tools/featuretest/build-scenes.ps1:187;Tools/featuretest/build-scenes.ps1:188;Tools/regression/bt_smoke.txt:39;Tools/regression/bt_smoke.txt:40;Tools/regression/bt_smoke.txt:41;Tools/regression/bt_smoke.txt:42;Tools/regression/prefab_duplicate.txt:27;Tools/regression/prefab_duplicate.txt:43;Tools/regression/prefab_identity_injection.txt:35;Tools/regression/prefab_identity_injection.txt:52;Tools/regression/prefab_nested_update_probe.txt:89;Tools/regression/prefab_nested_update_probe.txt:111;Tools/regression/prefab_nested_update_probe.txt:119;Tools/regression/prefab_nested_update_probe.txt:133;Tools/regression/prefab_override_write.txt:47;Tools/regression/prefab_override_write.txt:48;Tools/regression/prefab_override_write.txt:64;Tools/regression/prefab_override_write.txt:79;Tools/regression/run-all.ps1:640;Tools/regression/verify-cli-editor-operation.ps1:141;Tools/regression/verify-cli-invocation.ps1:153;Tools/regression/verify-model-cutover-budget.ps1:200;Tools/regression/verify-model-scene-consumption.ps1:130;Tools/regression/verify-prefab-override-write.ps1:10;Tools/regression/verify-prefab-override-write.ps1:18;Tools/regression/verify-prefab-override-write.ps1:114;Tools/regression/verify-skin-pose-visual.ps1:103
object.rename	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/featuretest/build-scenes.ps1:88;Tools/regression/prefab_nested_probe.txt:24;Tools/regression/prefab_nested_update_probe.txt:62;Tools/regression/prefab_nested_update_probe.txt:63;Tools/regression/verify-cli-editor-operation.ps1:131;Tools/regression/verify-prefab-nested-update.ps1:54;Tools/regression/verify-prefab-nested-update.ps1:56
object.rootref	-	editor_operation	commandlet	Fixture-only root-reference mutation for hierarchy transfer regressions	Tools/regression/ddol_canvas_probe.txt:65;Tools/regression/ddol_canvas_probe.txt:84;Tools/regression/prefab_nested_probe.txt:54;Tools/regression/prefab_nested_probe.txt:72;Tools/regression/verify-cli-editor-operation.ps1:142
object.transform	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/featuretest/build-scenes.ps1:64;Tools/featuretest/build-scenes.ps1:67;Tools/featuretest/build-scenes.ps1:89;Tools/featuretest/build-scenes.ps1:174;Tools/featuretest/build-scenes.ps1:183;Tools/regression/prefab_override_write.txt:69;Tools/regression/prefab_override_write.txt:80;Tools/regression/run-all.ps1:641;Tools/regression/verify-cli-editor-operation.ps1:139;Tools/regression/verify-model-cutover-budget.ps1:199;Tools/regression/verify-model-scene-consumption.ps1:126;Tools/regression/verify-model-typed-consumers.ps1:60;Tools/regression/verify-prefab-override-write.ps1:17;Tools/regression/verify-prefab-override-write.ps1:181;Tools/regression/verify-transform-roundtrip.ps1:84;scripts/skinned_pose_visual.txt:29;scripts/skin_pose_visual.txt:28
perf.reflect	-	probe	remove	Retired completed design/performance comparison; dedicated implementation and assets removed. See CommandletRetirementAudit.md.	retired; rejection covered by verify-editor-command-surface.ps1
pipeline.nodes	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/lc0-static-inventory.ps1:78;Tools/regression/verify-pipeline-composition.ps1:12;Tools/regression/verify-pipeline-composition.ps1:173;Tools/regression/verify-pipeline-composition.ps1:196
pix.capture	-	probe	api	developer diagnostics; old probe class does not imply harness	Tools/dx12-validation/Invoke-DX12Validation.ps1:295;Tools/dx12-validation/Invoke-DX12Validation.ps1:297
play	stop	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/build.ps1:37;Tools/build.ps1:82;Tools/build.ps1:484;Tools/build.ps1:489;Tools/build.ps1:1148;Tools/build.ps1:1151;Tools/build.ps1:1244;Tools/build.ps1:1246;Tools/build.ps1:1295;Tools/build.ps1:1298;Tools/build.ps1:1303;Tools/build.ps1:1304;Tools/build.ps1:1322;Tools/build.ps1:1323;Tools/build.ps1:1324;Tools/build.ps1:1369;Tools/build.ps1:1535;Tools/build.ps1:1538;Tools/build.ps1:1605;Tools/build.ps1:1608;Tools/build.ps1:1784;Tools/dx12-validation/Invoke-DX12Validation.ps1:157;Tools/dx12-validation/Invoke-DX12Validation.ps1:343;Tools/dx12-validation/Invoke-DX12Validation.ps1:354;Tools/regression/bt_smoke.txt:72;Tools/regression/ddol_script_probe.txt:17;Tools/regression/ddol_script_probe.txt:58;Tools/regression/lc0-measure.ps1:199;Tools/regression/lc0-measure.ps1:200;Tools/regression/lc0-measure.ps1:209;Tools/regression/lc0-measure.ps1:261;Tools/regression/lc0-static-inventory.ps1:61;Tools/regression/lc0-static-inventory.ps1:62;Tools/regression/lc0-static-inventory.ps1:63;Tools/regression/lc0-static-inventory.ps1:65;Tools/regression/light_slot_restore.txt:73;Tools/regression/light_slot_restore.txt:82;Tools/regression/run-all.ps1:159;Tools/regression/run-all.ps1:164;Tools/regression/run-all.ps1:168;Tools/regression/run-all.ps1:534;Tools/regression/run-all.ps1:555;Tools/regression/run-all.ps1:560;Tools/regression/run-all.ps1:563;Tools/regression/run-all.ps1:569;Tools/regression/run-all.ps1:576;Tools/regression/run-all.ps1:843;Tools/regression/ui_regression.txt:42;Tools/regression/ui_regression.txt:52;Tools/regression/ui_regression.txt:61;Tools/regression/ui_regression.txt:67;Tools/regression/ui_regression.txt:71;Tools/regression/verify-asset-authoring-ownership.ps1:191;Tools/regression/verify-asset-authoring-ownership.ps1:195;Tools/regression/verify-asset-authoring-ownership.ps1:196;Tools/regression/verify-asset-presentation-boundary.ps1:51;Tools/regression/verify-asset-presentation-boundary.ps1:53;Tools/regression/verify-asset-presentation-boundary.ps1:56;Tools/regression/verify-asset-runtime-change-boundary.ps1:59;Tools/regression/verify-asset-runtime-change-boundary.ps1:63;Tools/regression/verify-bt-smoke.ps1:125;Tools/regression/verify-bt-smoke.ps1:138;Tools/regression/verify-bt-smoke.ps1:139;Tools/regression/verify-bt-smoke.ps1:143;Tools/regression/verify-bt-smoke.ps1:212;Tools/regression/verify-cli-editor-operation.ps1:119;Tools/regression/verify-cli-editor-operation.ps1:122;Tools/regression/verify-cli-editor-operation.ps1:127;Tools/regression/verify-ddol-script.ps1:131;Tools/regression/verify-legacy-skeleton-retirement.ps1:14;Tools/regression/verify-light-slot-restore.ps1:18;Tools/regression/verify-light-slot-restore.ps1:19;Tools/regression/verify-packaging-boundaries.ps1:12;Tools/regression/verify-packaging-boundaries.ps1:13;Tools/regression/verify-packaging-boundaries.ps1:14;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:107;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:109;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:110;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:112;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:135;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:138;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:146;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:150;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:159;Tools/regression/verify-phase17-local-d1-runtime-hygiene.ps1:162;Tools/regression/verify-pipeline-composition.ps1:99;Tools/regression/verify-pipeline-composition.ps1:100;Tools/regression/verify-pipeline-composition.ps1:101;Tools/regression/verify-pipeline-composition.ps1:102;Tools/regression/verify-pipeline-composition.ps1:124;Tools/regression/verify-pipeline-composition.ps1:125;Tools/regression/verify-pipeline-composition.ps1:126;Tools/regression/verify-pipeline-composition.ps1:127;Tools/regression/verify-pipeline-composition.ps1:133;Tools/regression/verify-pipeline-composition.ps1:136;Tools/regression/verify-pipeline-composition.ps1:138;Tools/regression/verify-play-mode-policy-boundary.ps1:88;Tools/regression/verify-play-mode-policy-boundary.ps1:89;Tools/regression/verify-play-mode-policy-boundary.ps1:90;Tools/regression/verify-play-mode-policy-boundary.ps1:92;Tools/regression/verify-play-mode-policy-boundary.ps1:93;Tools/regression/verify-play-mode-policy-boundary.ps1:96;Tools/regression/verify-play-mode-policy-boundary.ps1:102;Tools/regression/verify-play-mode-policy-boundary.ps1:105;Tools/regression/verify-play-mode-policy-boundary.ps1:108;Tools/regression/verify-play-mode-policy-boundary.ps1:149;Tools/regression/verify-play-roundtrip.ps1:5;Tools/regression/verify-play-roundtrip.ps1:15;Tools/regression/verify-play-roundtrip.ps1:47;Tools/regression/verify-play-roundtrip.ps1:55;Tools/regression/verify-play-roundtrip.ps1:57;Tools/regression/verify-play-roundtrip.ps1:61;Tools/regression/verify-play-roundtrip.ps1:62;Tools/regression/verify-play-roundtrip.ps1:65;Tools/regression/verify-play-roundtrip.ps1:76;Tools/regression/verify-play-roundtrip.ps1:83;Tools/regression/verify-play-roundtrip.ps1:123;Tools/regression/verify-play-roundtrip.ps1:127;Tools/regression/verify-play-roundtrip.ps1:137;Tools/regression/verify-play-roundtrip.ps1:145;Tools/regression/verify-play-roundtrip.ps1:148;Tools/regression/verify-play-roundtrip.ps1:151;Tools/regression/verify-play-roundtrip.ps1:172;Tools/regression/verify-play-roundtrip.ps1:173;Tools/regression/verify-play-roundtrip.ps1:174;Tools/regression/verify-play-roundtrip.ps1:176;Tools/regression/verify-play-roundtrip.ps1:177;Tools/regression/verify-play-roundtrip.ps1:183;Tools/regression/verify-play-roundtrip.ps1:199;Tools/regression/verify-play-selection-undo.ps1:5;Tools/regression/verify-play-selection-undo.ps1:7;Tools/regression/verify-play-selection-undo.ps1:49;Tools/regression/verify-play-selection-undo.ps1:65;Tools/regression/verify-play-selection-undo.ps1:67;Tools/regression/verify-play-selection-undo.ps1:68;Tools/regression/verify-play-selection-undo.ps1:127;Tools/regression/verify-play-selection-undo.ps1:132;Tools/regression/verify-play-selection-undo.ps1:158;Tools/regression/verify-play-selection-undo.ps1:165;Tools/regression/verify-play-selection-undo.ps1:168;Tools/regression/verify-play-selection-undo.ps1:185;Tools/regression/verify-play-selection-undo.ps1:191;Tools/regression/verify-play-selection-undo.ps1:210;Tools/regression/verify-player-command-service.ps1:18;Tools/regression/verify-player-command-service.ps1:21;Tools/regression/verify-player-command-service.ps1:66;Tools/regression/verify-player-command-service.ps1:92;Tools/regression/verify-player-command-service.ps1:93;Tools/regression/verify-player-command-service.ps1:102;Tools/regression/verify-player-command-service.ps1:117;Tools/regression/verify-player-command-service.ps1:135;Tools/regression/verify-player-command-service.ps1:136;Tools/regression/verify-player-command-service.ps1:143;Tools/regression/verify-player-command-service.ps1:145;Tools/regression/verify-player-command-service.ps1:147;Tools/regression/verify-player-command-service.ps1:151;Tools/regression/verify-player-command-service.ps1:155;Tools/regression/verify-player-command-service.ps1:161;Tools/regression/verify-player-command-service.ps1:178;Tools/regression/verify-player-command-service.ps1:179;Tools/regression/verify-player-command-service.ps1:180;Tools/regression/verify-player-command-service.ps1:188;Tools/regression/verify-player-command-service.ps1:229;Tools/regression/verify-player-command-service.ps1:230;Tools/regression/verify-player-command-service.ps1:238;Tools/regression/verify-player-missing-pak.ps1:21;Tools/regression/verify-player-missing-pak.ps1:23;Tools/regression/verify-player-missing-pak.ps1:110;Tools/regression/verify-player-missing-pak.ps1:163;Tools/regression/verify-player-missing-pak.ps1:175;Tools/regression/verify-player-missing-pak.ps1:184;Tools/regression/verify-player-missing-pak.ps1:185;Tools/regression/verify-player-missing-pak.ps1:188;Tools/regression/verify-player-missing-pak.ps1:194;Tools/regression/verify-player-missing-pak.ps1:202;Tools/regression/verify-player-normal-exit.ps1:23;Tools/regression/verify-player-normal-exit.ps1:25;Tools/regression/verify-player-normal-exit.ps1:46;Tools/regression/verify-player-normal-exit.ps1:56;Tools/regression/verify-player-normal-exit.ps1:57;Tools/regression/verify-player-normal-exit.ps1:64;Tools/regression/verify-player-normal-exit.ps1:71;Tools/regression/verify-player-normal-exit.ps1:88;Tools/regression/verify-player-normal-exit.ps1:89;Tools/regression/verify-player-normal-exit.ps1:107;Tools/regression/verify-player-normal-exit.ps1:139;Tools/regression/verify-player-normal-exit.ps1:140;Tools/regression/verify-player-normal-exit.ps1:147;Tools/regression/verify-player-normal-exit.ps1:148;Tools/regression/verify-player-normal-exit.ps1:151;Tools/regression/verify-player-normal-exit.ps1:159;Tools/regression/verify-player-normal-exit.ps1:170;Tools/regression/verify-player-runtime-boundary.ps1:15;Tools/regression/verify-player-runtime-boundary.ps1:16;Tools/regression/verify-player-runtime-boundary.ps1:17;Tools/regression/verify-player-runtime-boundary.ps1:43;Tools/regression/verify-player-runtime-hygiene.ps1:74;Tools/regression/verify-player-runtime-hygiene.ps1:75;Tools/regression/verify-player-runtime-hygiene.ps1:76;Tools/regression/verify-player-runtime-hygiene.ps1:78;Tools/regression/verify-player-runtime-hygiene.ps1:129;Tools/regression/verify-player-runtime-hygiene.ps1:133;Tools/regression/verify-player-runtime-hygiene.ps1:143;Tools/regression/verify-player-runtime-hygiene.ps1:147;Tools/regression/verify-player-runtime-hygiene.ps1:164;Tools/regression/verify-player-runtime-hygiene.ps1:166;Tools/regression/verify-player-runtime-text-parser.ps1:23;Tools/regression/verify-player-runtime-text-parser.ps1:25;Tools/regression/verify-player-runtime-text-parser.ps1:67;Tools/regression/verify-player-runtime-text-parser.ps1:86;Tools/regression/verify-player-runtime-text-parser.ps1:110;Tools/regression/verify-player-shipping-isolation.ps1:133;Tools/regression/verify-player-shipping-isolation.ps1:135;Tools/regression/verify-player-shipping-isolation.ps1:140;Tools/regression/verify-player-shipping-isolation.ps1:144;Tools/regression/verify-player-shipping-isolation.ps1:148;Tools/regression/verify-player-shipping-isolation.ps1:152;Tools/regression/verify-prefab-editor-ownership.ps1:45;Tools/regression/verify-prefab-editor-ownership.ps1:46;Tools/regression/verify-prefab-editor-ownership.ps1:84;Tools/regression/verify-prefab-editor-ownership.ps1:86;Tools/regression/verify-prefab-editor-ownership.ps1:87;Tools/regression/verify-tag-authoring-read.ps1:10;scripts/asan_lifecycle_stress.txt:90;scripts/lifecycle_baseline.txt:129;scripts/lifecycle_baseline.txt:134;scripts/skinned_proxy_refresh.txt:20
play.state	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-play-roundtrip.ps1:15;Tools/regression/verify-play-roundtrip.ps1:55;Tools/regression/verify-play-roundtrip.ps1:61;Tools/regression/verify-play-roundtrip.ps1:65;Tools/regression/verify-play-roundtrip.ps1:137
prefab.corpus.digest	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-prefab-authoring-corpus.ps1:52;Tools/regression/verify-prefab-authoring-corpus.ps1:56
